code,name,gender,medal_type,medal_code,country,country_code,nationality,discipline,event,event_type,birth_date
1903136,EVENEPOEL Remco,Male,Gold Medal,1,Belgium,BEL,Belgium,Cycling Road,Men's Individual Time Trial,ATH,25-01-2000
1923520,GANNA Filippo,Male,Silver Medal,2,Italy,ITA,Italy,Cycling Road,Men's Individual Time Trial,ATH,25-07-1996
1903147,van AERT Wout,Male,Bronze Medal,3,Belgium,BEL,Belgium,Cycling Road,Men's Individual Time Trial,ATH,15-09-1994
1940173,BROWN Grace,Female,Gold Medal,1,Australia,AUS,Australia,Cycling Road,Women's Individual Time Trial,ATH,07-07-1992
1912525,HENDERSON Anna,Female,Silver Medal,2,Great Britain,GBR,Great Britain,Cycling Road,Women's Individual Time Trial,ATH,14-11-1998
1955079,DYGERT Chloe,Female,Bronze Medal,3,United States,USA,United States,Cycling Road,Women's Individual Time Trial,ATH,01-01-1997
1927149,OH Sanguk,Male,Gold Medal,1,Korea,KOR,Korea,Fencing,Men's Sabre Individual,HATH,30-09-1996
1937783,FERJANI Fares,Male,Silver Medal,2,Tunisia,TUN,Tunisia,Fencing,Men's Sabre Individual,HATH,22-07-1997
1924595,SAMELE Luigi,Male,Bronze Medal,3,Italy,ITA,Italy,Fencing,Men's Sabre Individual,HATH,25-07-1987
1963262,KONG Man Wai Vivian,Female,Gold Medal,1,"Hong Kong, China",HKG,"Hong Kong, China",Fencing,Women's Épée Individual,HATH,08-02-1994
1916183,MALLO-BRETON Auriane,Female,Silver Medal,2,France,FRA,France,Fencing,Women's Épée Individual,HATH,11-10-1993
1946375,MUHARI Eszter,Female,Bronze Medal,3,Hungary,HUN,Hungary,Fencing,Women's Épée Individual,HATH,30-09-2002
1935408,SMETOV Yeldos,Male,Gold Medal,1,Kazakhstan,KAZ,Kazakhstan,Judo,Men -60 kg,HATH,09-09-1992
1891304,MKHEIDZE Luka,Male,Silver Medal,2,France,FRA,France,Judo,Men -60 kg,HATH,05-01-1996
1896752,NAGAYAMA Ryuju,Male,Bronze Medal,3,Japan,JPN,Japan,Judo,Men -60 kg,HATH,15-04-1996
1563544,GARRIGOS Francisco,Male,Bronze Medal,3,Spain,ESP,Spain,Judo,Men -60 kg,HATH,09-12-1994
1896735,TSUNODA Natsumi,Female,Gold Medal,1,Japan,JPN,Japan,Judo,Women -48 kg,HATH,06-08-1992
1914467,BAVUUDORJ Baasankhuu,Female,Silver Medal,2,Mongolia,MGL,Mongolia,Judo,Women -48 kg,HATH,26-11-1999
1891280,BOUKLI Shirine,Female,Bronze Medal,3,France,FRA,France,Judo,Women -48 kg,HATH,24-01-1999
1571911,BABULFATH Tara,Female,Bronze Medal,3,Sweden,SWE,Sweden,Judo,Women -48 kg,HATH,03-01-2006
1907192,MAERTENS Lukas,Male,Gold Medal,1,Germany,GER,Germany,Swimming,Men's 400m Freestyle,ATH,27-12-2001
1946172,WINNINGTON Elijah,Male,Silver Medal,2,Australia,AUS,Australia,Swimming,Men's 400m Freestyle,ATH,05-05-2000
4654306,KIM Woomin,Male,Bronze Medal,3,Korea,KOR,Korea,Swimming,Men's 400m Freestyle,ATH,24-08-2001
1946150,TITMUS Ariarne,Female,Gold Medal,1,Australia,AUS,Australia,Swimming,Women's 400m Freestyle,ATH,07-09-2000
1967140,McINTOSH Summer,Female,Silver Medal,2,Canada,CAN,Canada,Swimming,Women's 400m Freestyle,ATH,18-08-2006
1935938,LEDECKY Katie,Female,Bronze Medal,3,United States,USA,United States,Swimming,Women's 400m Freestyle,ATH,17-03-1997
1940205,FOX Jessica,Female,Gold Medal,1,Australia,AUS,Australia,Canoe Slalom,Women's Kayak Single,ATH,11-06-1994
1942126,ZWOLINSKA Klaudia,Female,Silver Medal,2,Poland,POL,Poland,Canoe Slalom,Women's Kayak Single,ATH,18-12-1998
1896045,WOODS Kimberley,Female,Bronze Medal,3,Great Britain,GBR,Great Britain,Canoe Slalom,Women's Kayak Single,ATH,08-09-1995
1895672,FERRAND PREVOT Pauline,Female,Gold Medal,1,France,FRA,France,Cycling Mountain Bike,Women's Cross-country,ATH,10-02-1992
1955070,BATTEN Haley,Female,Silver Medal,2,United States,USA,United States,Cycling Mountain Bike,Women's Cross-country,ATH,19-09-1998
1564023,RISSVEDS Jenny,Female,Bronze Medal,3,Sweden,SWE,Sweden,Cycling Mountain Bike,Women's Cross-country,ATH,06-06-1994
1896548,KANO Koki,Male,Gold Medal,1,Japan,JPN,Japan,Fencing,Men's Épée Individual,HATH,19-12-1997
1916194,BOREL Yannick,Male,Silver Medal,2,France,FRA,France,Fencing,Men's Épée Individual,HATH,05-11-1988
1936462,ELSAYED Mohamed,Male,Bronze Medal,3,Egypt,EGY,Egypt,Fencing,Men's Épée Individual,HATH,03-03-2003
1950611,KIEFER Lee,Female,Gold Medal,1,United States,USA,United States,Fencing,Women's Foil Individual,HATH,15-06-1994
1950643,SCRUGGS Lauren,Female,Silver Medal,2,United States,USA,United States,Fencing,Women's Foil Individual,HATH,27-01-2003
